<BuggyProgram,
User (272) generated 861, presented 161, and recorded 841
User (273) generated 140, presented 851, and recorded 851
User (274) generated 834, presented 841, and recorded 841
User (275) generated 585, presented 261, and recorded 261
User (276) generated 186, presented 161, and recorded 161
User (277) generated 694, presented 606, and recorded 606
User (278) generated 783, presented 851, and recorded 851
User (279) generated 170, presented 855, and recorded 855
User (280) generated 574, presented 941, and recorded 941
User (281) generated 850, presented 850, and recorded 850
User (282) generated 950, presented 922, and recorded 922
User (283) generated 880, presented 494, and recorded 494
User (284) generated 603, presented 355, and recorded 355
User (285) generated 967, presented 802, and recorded 802
User (286) generated 746, presented 261, and recorded 261
User (287) generated 511, presented 16, and recorded 16
User (288) generated 9, presented 638, and recorded 638
User (289) generated 164, presented 161, and recorded 161
User (290) generated 622, presented 851, and recorded 787
User (291) generated 157, presented 682, and recorded 143
User (292) generated 102, presented 561, and recorded 561
User (293) generated 149, presented 18, and recorded 18
User (294) generated 542, presented 494, and recorded 494
User (295) generated 638, presented 844, and recorded 844
User (296) generated 189, presented 494, and recorded 494
User (297) generated 444, presented 494, and recorded 494
User (298) generated 64, presented 184, and recorded 184
User (299) generated 478, presented 844, and recorded 844
User (300) generated 325, presented 496, and recorded 496
User (301) generated 502, presented 503, and recorded 503
User (302) generated 365, presented 930, and recorded 930
User (303) generated 941, presented 496, and recorded 496
User (304) generated 509, presented 844, and recorded 355
User (305) generated 926, presented 143, and recorded 143
User (306) generated 496, presented 642, and recorded 642
User (307) generated 143, presented 30, and recorded 30
User (308) generated 230, presented 151, and recorded 151
User (309) generated 151, presented 312, and recorded 312
User (310) generated 1, presented 143, and recorded 143
User (311) generated 369, presented 151, and recorded 151
User (312) generated 449, presented 221, and recorded 221
User (313) generated 572, presented 261, and recorded 261
User (314) generated 787, presented 355, and recorded 355
User (315) generated 61, presented 221, and recorded 221
User (316) generated 711, presented 930, and recorded 682
User (317) generated 724, presented 184, and recorded 184
User (318) generated 851, presented 393, and recorded 393
User (319) generated 606, presented 325, and recorded 325
User (320) generated 111, presented 102, and recorded 102
User (321) generated 680, presented 512, and recorded 1
User (322) generated 770, presented 149, and recorded 149
User (323) generated 227, presented 393, and recorded 260
User (324) generated 483, presented 682, and recorded 682
User (325) generated 318, presented 848, and recorded 848
User (326) generated 515, presented 318, and recorded 318
User (327) generated 844, presented 574, and recorded 574
User (328) generated 681, presented 221, and recorded 221
User (329) generated 570, presented 861, and recorded 151
User (330) generated 551, presented 950, and recorded 950
User (331) generated 16, presented 53, and recorded 53
User (332) generated 30, presented 941, and recorded 941, 
Weak-Reality>
<BuggyProgram,
User (0) generated 689, presented 689, and recorded 689
User (1) generated 441, presented 786, and recorded 786
User (2) generated 979, presented 786, and recorded 589
User (3) generated 43, presented 786, and recorded 816
User (4) generated 544, presented 547, and recorded 547
User (5) generated 141, presented 696, and recorded 696
User (6) generated 856, presented 816, and recorded 252
User (7) generated 358, presented 141, and recorded 141
User (8) generated 912, presented 141, and recorded 141
User (9) generated 466, presented 141, and recorded 141
User (10) generated 286, presented 141, and recorded 141
User (11) generated 247, presented 141, and recorded 141
User (12) generated 185, presented 141, and recorded 141
User (13) generated 531, presented 141, and recorded 141
User (14) generated 192, presented 141, and recorded 141
User (15) generated 73, presented 141, and recorded 141
User (16) generated 547, presented 547, and recorded 547
User (17) generated 52, presented 141, and recorded 141
User (18) generated 288, presented 141, and recorded 141
User (19) generated 252, presented 547, and recorded 547
User (20) generated 747, presented 261, and recorded 261
User (21) generated 261, presented 261, and recorded 261
User (22) generated 213, presented 197, and recorded 197
User (23) generated 41, presented 616, and recorded 616
User (24) generated 197, presented 197, and recorded 197
User (25) generated 467, presented 467, and recorded 467
User (26) generated 927, presented 696, and recorded 696
User (27) generated 584, presented 851, and recorded 851
User (28) generated 706, presented 706, and recorded 706
User (29) generated 479, presented 479, and recorded 479
User (30) generated 71, presented 696, and recorded 696
User (31) generated 608, presented 70, and recorded 70
User (32) generated 142, presented 142, and recorded 142, 
Weak-Reality>
